path,emotion
data/training/Actor_16/03-02-04-01-02-02-16_sad.wav,sad
data/training/Actor_16/03-02-04-02-01-01-16_sad.wav,sad
data/training/Actor_16/16_02_01_02_kids-talking_sad.wav,sad
data/training/Actor_16/16_02_02_01_dogs-sitting_sad.wav,sad
data/training/Actor_16/03-02-04-01-01-02-16_sad.wav,sad
data/training/Actor_16/03-02-04-02-02-01-16_sad.wav,sad
data/training/Actor_16/16_02_02_02_kids-talking_sad.wav,sad
data/training/Actor_16/16_02_01_01_dogs-sitting_sad.wav,sad
data/training/Actor_16/16_02_01_02_dogs-sitting_sad.wav,sad
data/training/Actor_16/16_02_02_01_kids-talking_sad.wav,sad
data/training/Actor_16/03-02-04-02-02-02-16_sad.wav,sad
data/training/Actor_16/16_02_02_02_dogs-sitting_sad.wav,sad
data/training/Actor_16/16_02_01_01_kids-talking_sad.wav,sad
data/training/Actor_16/03-02-04-01-01-01-16_sad.wav,sad
data/training/Actor_16/03-02-04-02-01-02-16_sad.wav,sad
data/training/Actor_16/03-02-04-01-02-01-16_sad.wav,sad
data/training/Actor_11/11_02_01_02_kids-talking_sad.wav,sad
data/training/Actor_11/11_02_02_01_dogs-sitting_sad.wav,sad
data/training/Actor_11/11_01_02_01_kids-talking_sad.wav,sad
data/training/Actor_11/11_01_01_02_dogs-sitting_sad.wav,sad
data/training/Actor_11/03-02-04-01-01-01-11_sad.wav,sad
data/training/Actor_11/03-02-04-02-02-02-11_sad.wav,sad
data/training/Actor_11/11_01_01_01_kids-talking_sad.wav,sad
data/training/Actor_11/11_01_02_02_dogs-sitting_sad.wav,sad
data/training/Actor_11/03-02-04-01-02-01-11_sad.wav,sad
data/training/Actor_11/11_02_02_02_kids-talking_sad.wav,sad
data/training/Actor_11/11_02_01_01_dogs-sitting_sad.wav,sad
data/training/Actor_11/03-02-04-02-01-02-11_sad.wav,sad
data/training/Actor_11/11_02_01_02_dogs-sitting_sad.wav,sad
data/training/Actor_11/11_02_02_01_kids-talking_sad.wav,sad
data/training/Actor_11/03-02-04-02-01-01-11_sad.wav,sad
data/training/Actor_11/03-02-04-01-02-02-11_sad.wav,sad
data/training/Actor_11/03-02-04-02-02-01-11_sad.wav,sad
data/training/Actor_11/11_01_02_01_dogs-sitting_sad.wav,sad
data/training/Actor_11/11_01_01_02_kids-talking_sad.wav,sad
data/training/Actor_11/03-02-04-01-01-02-11_sad.wav,sad
data/training/Actor_11/11_01_01_01_dogs-sitting_sad.wav,sad
data/training/Actor_11/11_01_02_02_kids-talking_sad.wav,sad
data/training/Actor_11/11_02_02_02_dogs-sitting_sad.wav,sad
data/training/Actor_11/11_02_01_01_kids-talking_sad.wav,sad
data/training/Actor_18/18_01_02_02_dogs-sitting_sad.wav,sad
data/training/Actor_18/18_01_01_01_kids-talking_sad.wav,sad
data/training/Actor_18/18_01_01_02_dogs-sitting_sad.wav,sad
data/training/Actor_18/18_01_02_01_kids-talking_sad.wav,sad
data/training/Actor_18/18_01_02_02_kids-talking_sad.wav,sad
data/training/Actor_18/18_01_01_01_dogs-sitting_sad.wav,sad
data/training/Actor_18/18_01_01_02_kids-talking_sad.wav,sad
data/training/Actor_18/18_01_02_01_dogs-sitting_sad.wav,sad
data/training/Actor_20/03-02-04-02-01-01-20_sad.wav,sad
data/training/Actor_20/03-02-04-01-02-02-20_sad.wav,sad
data/training/Actor_20/03-02-04-02-02-01-20_sad.wav,sad
data/training/Actor_20/20_01_02_01_dogs-sitting_sad.wav,sad
data/training/Actor_20/20_01_01_02_kids-talking_sad.wav,sad
data/training/Actor_20/03-02-04-01-01-02-20_sad.wav,sad
data/training/Actor_20/20_01_01_01_dogs-sitting_sad.wav,sad
data/training/Actor_20/20_01_02_02_kids-talking_sad.wav,sad
data/training/Actor_20/20_01_02_01_kids-talking_sad.wav,sad
data/training/Actor_20/20_01_01_02_dogs-sitting_sad.wav,sad
data/training/Actor_20/03-02-04-01-01-01-20_sad.wav,sad
data/training/Actor_20/03-02-04-02-02-02-20_sad.wav,sad
data/training/Actor_20/20_01_01_01_kids-talking_sad.wav,sad
data/training/Actor_20/20_01_02_02_dogs-sitting_sad.wav,sad
data/training/Actor_20/03-02-04-01-02-01-20_sad.wav,sad
data/training/Actor_20/03-02-04-02-01-02-20_sad.wav,sad
data/training/Actor_21/21_01_02_02_kids-talking_sad.wav,sad
data/training/Actor_21/21_01_01_01_dogs-sitting_sad.wav,sad
data/training/Actor_21/03-02-04-02-02-01-21_sad.wav,sad
data/training/Actor_21/03-02-04-01-01-02-21_sad.wav,sad
data/training/Actor_21/03-02-04-02-01-01-21_sad.wav,sad
data/training/Actor_21/03-02-04-01-02-02-21_sad.wav,sad
data/training/Actor_21/21_01_01_02_kids-talking_sad.wav,sad
data/training/Actor_21/21_01_02_01_dogs-sitting_sad.wav,sad
data/training/Actor_21/21_01_02_02_dogs-sitting_sad.wav,sad
data/training/Actor_21/21_01_01_01_kids-talking_sad.wav,sad
data/training/Actor_21/03-02-04-01-02-01-21_sad.wav,sad
data/training/Actor_21/03-02-04-02-01-02-21_sad.wav,sad
data/training/Actor_21/03-02-04-01-01-01-21_sad.wav,sad
data/training/Actor_21/21_01_01_02_dogs-sitting_sad.wav,sad
data/training/Actor_21/03-02-04-02-02-02-21_sad.wav,sad
data/training/Actor_21/21_01_02_01_kids-talking_sad.wav,sad
data/training/Actor_26/26_01_01_01_keep_sad.wav,sad
data/training/Actor_26/26_01_01_01_fall_sad.wav,sad
data/training/Actor_26/26_01_01_01_bath_sad.wav,sad
data/training/Actor_26/26_01_01_01_date_sad.wav,sad
data/training/Actor_26/26_01_01_01_calm_sad.wav,sad
data/training/Actor_26/26_01_01_01_have_sad.wav,sad
data/training/Actor_26/26_01_01_01_nice_sad.wav,sad
data/training/Actor_26/26_01_01_01_five_sad.wav,sad
data/training/Actor_26/26_01_01_01_hash_sad.wav,sad
data/training/Actor_26/26_01_01_01_rat_sad.wav,sad
data/training/Actor_26/26_01_01_01_germ_sad.wav,sad
data/training/Actor_26/26_01_01_01_ripe_sad.wav,sad
data/training/Actor_26/26_01_01_01_goal_sad.wav,sad
data/training/Actor_26/26_01_01_01_mess_sad.wav,sad
data/training/Actor_26/26_01_01_01_sail_sad.wav,sad
data/training/Actor_26/26_01_01_01_laud_sad.wav,sad
